Fir	23	1.0
alo	5	1.0
ala	8	0.75
aur	110	0.96
fae	102	0.82
Spi	9	0.78
Tan	91	0.98
Gra	168	0.86
Agg	79	0.86
mel	36	0.61
vin	11	1.0
Vei	101	1.0
Ste	8	0.75
Sta	166	0.82
Str	612	0.97
Ber	5	0.8
Pyr	7	0.71
ent	119	0.65
MT8	8	0.88
lac	227	0.7
ABR	5	1.0
TMC	13	0.92
Cho	5	1.0
Cap	36	0.97
bau	6	1.0
Cam	48	0.9
Pre	271	0.82
Pro	114	0.66
Ent	108	0.96
gon	8	0.75
reu	39	0.97
gor	104	0.97
ora	104	0.51
Vib	8	0.75
isr	17	1.0
Clo	20	0.7
ATC	26	0.92
Eub	13	1.0
Fus	136	0.99
pne	104	0.65
Sel	13	0.77
ang	20	0.8
Syn	46	0.67
Ato	7	0.86
pyl	311	0.93
pyo	18	0.94
rha	34	0.97
Por	247	0.98
BGH	6	1.0
Hae	27	0.93
och	6	1.0
Bif	66	1.0
Pse	59	0.98
aer	172	0.67
Pep	35	0.91
nuc	268	0.84
mut	652	0.88
Hel	70	0.97
san	108	0.94
Gem	13	1.0
nig	41	0.93
JCM	5	1.0
thu	13	0.85
hae	15	0.67
bif	33	0.79
Tre	101	0.85
Dia	18	0.83
pse	12	0.67
Eik	16	1.0
Bde	6	1.0
Nei	36	0.94
Meg	5	0.8
Lep	20	0.85
aci	107	0.58
Rot	18	0.94
sob	43	0.98
gin	673	0.65
Kle	29	1.0
S.m	8	1.0
Esc	58	0.97
pis	6	1.0
nae	76	0.99
Lac	292	0.97
Aci	18	0.89
Act	210	0.95
