lli	177	0.98
lla	559	0.97
ros	21	1.0
cus	863	0.97
eus	127	0.97
ium	643	0.5
cea	7	0.86
lis	674	0.92
bic	278	0.5
hia	194	0.96
ius	138	0.93
gua	7	0.71
ema	91	0.95
dii	84	0.98
dia	139	0.96
gum	11	0.91
dis	16	0.94
ola	127	0.94
nus	60	0.75
sei	27	0.81
lus	411	0.97
ica	53	0.79
sus	147	0.66
tum	307	0.82
ori	308	0.94
obe	29	0.69
kii	5	1.0
vus	5	1.0
zae	15	1.0
dum	7	1.0
iae	94	0.8
var	11	0.82
eae	59	0.97
hus	17	0.88
GNB	5	1.0
cis	9	1.0
ula	37	0.65
eri	75	0.97
cae	7	1.0
vum	6	0.83
rio	15	1.0
uis	45	0.93
ans	1089	0.78
ava	9	0.89
ena	8	1.0
par	8	1.0
A11	5	1.0
lii	17	1.0
nas	341	0.98
tii	11	1.0
nii	121	0.98
148	9	0.78
epM	11	1.0
nis	80	0.97
aga	36	1.0
356	14	0.86
cci	462	0.98
